State,District,Crop,Season,Crop_Year,Area_Hectares,Production_Tonnes,Yield_Kg_Ha,Soil_Type,Annual_Rainfall_mm,Irrigation_Percent,Fertilizer_Kg_Ha,Temperature_Avg_C
Andhra Pradesh,Guntur,Rice,Kharif,2023,450000,2250000,5000,Alluvial,950,85,180,28
Andhra Pradesh,Guntur,Rice,Rabi,2023,380000,1900000,5000,Alluvial,200,95,200,24
Andhra Pradesh,Krishna,Rice,Kharif,2023,520000,2860000,5500,Alluvial,1000,90,190,27
Andhra Pradesh,East Godavari,Rice,Kharif,2023,480000,2640000,5500,Alluvial,1100,88,185,28
Andhra Pradesh,West Godavari,Rice,Kharif,2023,410000,2255000,5500,Alluvial,1050,92,195,27
Andhra Pradesh,Nellore,Rice,Kharif,2023,350000,1750000,5000,Red,850,75,170,29
Andhra Pradesh,Prakasam,Cotton,Kharif,2023,280000,476000,1700,Black,650,45,150,30
Andhra Pradesh,Kurnool,Groundnut,Kharif,2023,320000,480000,1500,Red,550,35,120,31
Andhra Pradesh,Anantapur,Groundnut,Kharif,2023,450000,540000,1200,Red,500,25,100,32
Andhra Pradesh,Chittoor,Sugarcane,Annual,2023,85000,6800000,80000,Alluvial,900,95,250,26
Punjab,Ludhiana,Wheat,Rabi,2023,380000,1900000,5000,Alluvial,450,98,220,18
Punjab,Amritsar,Wheat,Rabi,2023,420000,2100000,5000,Alluvial,500,97,215,17
Punjab,Jalandhar,Wheat,Rabi,2023,350000,1750000,5000,Alluvial,480,96,210,18
Punjab,Patiala,Wheat,Rabi,2023,400000,2000000,5000,Alluvial,520,98,225,17
Punjab,Bathinda,Wheat,Rabi,2023,320000,1600000,5000,Alluvial,350,95,200,19
Punjab,Ludhiana,Rice,Kharif,2023,290000,1740000,6000,Alluvial,650,99,230,29
Punjab,Amritsar,Rice,Kharif,2023,310000,1860000,6000,Alluvial,700,98,225,28
Punjab,Sangrur,Rice,Kharif,2023,280000,1680000,6000,Alluvial,600,97,220,29
Punjab,Moga,Rice,Kharif,2023,250000,1500000,6000,Alluvial,580,98,218,28
Punjab,Ferozepur,Cotton,Kharif,2023,180000,324000,1800,Alluvial,400,85,160,31
Haryana,Karnal,Wheat,Rabi,2023,280000,1400000,5000,Alluvial,500,95,200,18
Haryana,Kurukshetra,Wheat,Rabi,2023,250000,1250000,5000,Alluvial,520,94,195,17
Haryana,Ambala,Wheat,Rabi,2023,220000,1100000,5000,Alluvial,550,92,190,18
Haryana,Hisar,Wheat,Rabi,2023,350000,1575000,4500,Alluvial,380,88,180,19
Haryana,Sirsa,Cotton,Kharif,2023,280000,504000,1800,Alluvial,350,75,155,32
Haryana,Karnal,Rice,Kharif,2023,200000,1100000,5500,Alluvial,700,96,210,29
Haryana,Panipat,Rice,Kharif,2023,180000,990000,5500,Alluvial,680,94,205,28
Uttar Pradesh,Meerut,Wheat,Rabi,2023,450000,2025000,4500,Alluvial,600,85,175,18
Uttar Pradesh,Muzaffarnagar,Wheat,Rabi,2023,380000,1710000,4500,Alluvial,650,82,170,17
Uttar Pradesh,Saharanpur,Wheat,Rabi,2023,320000,1440000,4500,Alluvial,700,80,165,17
Uttar Pradesh,Agra,Wheat,Rabi,2023,400000,1600000,4000,Alluvial,500,75,160,20
Uttar Pradesh,Aligarh,Wheat,Rabi,2023,350000,1400000,4000,Alluvial,550,78,165,19
Uttar Pradesh,Lucknow,Rice,Kharif,2023,280000,1120000,4000,Alluvial,900,70,150,28
Uttar Pradesh,Varanasi,Rice,Kharif,2023,320000,1280000,4000,Alluvial,950,65,145,29
Uttar Pradesh,Gorakhpur,Rice,Kharif,2023,380000,1520000,4000,Alluvial,1100,60,140,28
Uttar Pradesh,Sitapur,Sugarcane,Annual,2023,150000,10500000,70000,Alluvial,950,85,280,26
Uttar Pradesh,Lakhimpur,Sugarcane,Annual,2023,180000,12600000,70000,Alluvial,1000,88,290,25
Madhya Pradesh,Indore,Soybean,Kharif,2023,520000,1040000,2000,Black,900,35,130,27
Madhya Pradesh,Ujjain,Soybean,Kharif,2023,480000,960000,2000,Black,850,32,125,28
Madhya Pradesh,Dewas,Soybean,Kharif,2023,420000,840000,2000,Black,880,30,120,27
Madhya Pradesh,Vidisha,Wheat,Rabi,2023,350000,1225000,3500,Black,700,65,155,20
Madhya Pradesh,Sagar,Wheat,Rabi,2023,320000,1120000,3500,Black,750,60,150,21
